underlying,underlying_last, exchange,optionroot,optionext,type,expiration,quotedate,strike,last,bid,ask,volume,openinterest,impliedvol,delta,gamma,theta,vega,optionalias
SPX,332.74,*,SPX900317C00225000,,call,03/17/1990,03/01/1990,225,0,108,109,0,3548,0.9765,0.9789,0.0746,-14.9416,3.5343,SPX900317C00225000
SPX,332.74,*,SPX900317C00275000,,call,03/17/1990,03/01/1990,275,0,58.5,59.25,0,8426,0.5506,0.9589,0.2298,-15.5482,6.1411,SPX900317C00275000
SPX,332.74,*,SPX900317C00300000,,call,03/17/1990,03/01/1990,300,32.875,33.875,34.625,31,669,0.3723,0.9203,0.5715,-17.2202,10.3249,SPX900317C00300000
SPX,332.74,*,SPX900317C00305000,,call,03/17/1990,03/01/1990,305,0,29.125,29.875,0,630,0.3477,0.8987,0.7312,-18.5687,12.339,SPX900317C00305000
SPX,332.74,*,SPX900317C00310000,,call,03/17/1990,03/01/1990,310,0,24.25,25,0,2207,0.309,0.8798,0.9304,-18.6104,13.9542,SPX900317C00310000
SPX,332.74,*,SPX900317C00315000,,call,03/17/1990,03/01/1990,315,0,19.625,20.375,0,511,0.2831,0.8427,1.2198,-19.8154,16.7606,SPX900317C00315000
SPX,332.74,*,SPX900317C00320000,,call,03/17/1990,03/01/1990,320,15.625,14.875,15.375,5,445,0.2302,0.8153,1.6625,-18.2715,18.5751,SPX900317C00320000
SPX,332.74,*,SPX900317C00325000,,call,03/17/1990,03/01/1990,325,10.375,11,11.5,1009,9877,0.2251,0.7217,2.1399,-20.8337,23.3803,SPX900317C00325000
SPX,332.74,*,SPX900317C00330000,,call,03/17/1990,03/01/1990,330,6.375,6.375,6.75,2292,20765,0.1677,0.6332,3.222,-17.6589,26.2281,SPX900317C00330000
SPX,332.74,*,SPX900317C00335000,,call,03/17/1990,03/01/1990,335,3.5,3.375,3.625,1160,14223,0.1513,0.4598,3.7652,-15.9398,27.6513,SPX900317C00335000
SPX,332.74,*,SPX900317C00340000,,call,03/17/1990,03/01/1990,340,1.5,1.375,1.5,1079,10230,0.1367,0.2634,3.4299,-11.368,22.7496,SPX900317C00340000
SPX,332.74,*,SPX900317C00345000,,call,03/17/1990,03/01/1990,345,0.563,0.563,0.625,1815,7416,0.1389,0.1305,2.1917,-7.2342,14.7753,SPX900317C00345000
SPX,332.74,*,SPX900317C00350000,,call,03/17/1990,03/01/1990,350,0.25,0.188,0.313,30,10063,0.1509,0.0684,1.255,-4.7659,9.1921,SPX900317C00350000
SPX,332.74,*,SPX900317C00355000,,call,03/17/1990,03/01/1990,355,0.125,0.063,0.188,50,7799,0.1671,0.0405,0.747,-3.4192,6.0591,SPX900317C00355000
SPX,332.74,*,SPX900317C00360000,,call,03/17/1990,03/01/1990,360,0,0.063,0.125,0,6733,0.1842,0.026,0.4709,-2.5868,4.2096,SPX900317C00360000
SPX,332.74,*,SPX900317C00365000,,call,03/17/1990,03/01/1990,365,0,0,0.125,0,1278,0.2118,0.023,0.3694,-2.6577,3.797,SPX900317C00365000
SPX,332.74,*,SPX900317C00370000,,call,03/17/1990,03/01/1990,370,0.063,0,0.063,5560,8849,0.2166,0.0122,0.2104,-1.5741,2.2117,SPX900317C00370000
SPX,332.74,*,SPX900317C00375000,,call,03/17/1990,03/01/1990,375,0.063,0,0.063,671,17469,0.2408,0.0111,0.1744,-1.6033,2.0382,SPX900317C00375000
SPX,332.74,*,SPX900317P00225000,,put,03/17/1990,03/01/1990,225,0,0,0.063,0,5878,0.7276,-0.0039,0.0226,-1.7881,0.7978,SPX900317P00225000
SPX,332.74,*,SPX900317P00275000,,put,03/17/1990,03/01/1990,275,0.125,0.125,0.188,727,27877,0.4433,-0.0165,0.1328,-3.8488,2.8569,SPX900317P00275000
SPX,332.74,*,SPX900317P00300000,,put,03/17/1990,03/01/1990,300,0.5,0.5,0.563,669,9690,0.3281,-0.0563,0.4956,-7.7239,7.8932,SPX900317P00300000
SPX,332.74,*,SPX900317P00305000,,put,03/17/1990,03/01/1990,305,0.688,0.625,0.75,14,3895,0.3074,-0.076,0.6678,-9.0708,9.9627,SPX900317P00305000
SPX,332.74,*,SPX900317P00310000,,put,03/17/1990,03/01/1990,310,0.875,0.75,0.938,3,4639,0.2805,-0.0991,0.8919,-9.997,12.1445,SPX900317P00310000
SPX,332.74,*,SPX900317P00315000,,put,03/17/1990,03/01/1990,315,1.063,1.125,1.25,89,5026,0.2568,-0.135,1.2137,-11.2553,15.1281,SPX900317P00315000
SPX,332.74,*,SPX900317P00320000,,put,03/17/1990,03/01/1990,320,1.75,1.625,1.813,839,3921,0.2386,-0.1928,1.6468,-12.9581,19.0724,SPX900317P00320000
SPX,332.74,*,SPX900317P00325000,,put,03/17/1990,03/01/1990,325,2.375,2.375,2.5,696,10066,0.2137,-0.2686,2.2151,-13.5838,22.9766,SPX900317P00325000
SPX,332.74,*,SPX900317P00330000,,put,03/17/1990,03/01/1990,330,3.375,3.375,3.625,774,16358,0.1914,-0.381,2.8571,-13.3809,26.5465,SPX900317P00330000
SPX,332.74,*,SPX900317P00335000,,put,03/17/1990,03/01/1990,335,5.625,5.25,5.5,1082,14674,0.1745,-0.5331,3.2706,-11.5951,27.6969,SPX900317P00335000
SPX,332.74,*,SPX900317P00340000,,put,03/17/1990,03/01/1990,340,7.75,8.25,8.5,214,10516,0.1696,-0.6927,2.9738,-8.3953,24.483,SPX900317P00340000
SPX,332.74,*,SPX900317P00345000,,put,03/17/1990,03/01/1990,345,12.75,12,12.5,182,2231,0.1782,-0.8075,2.2031,-5.2199,19.0555,SPX900317P00345000
SPX,332.74,*,SPX900317P00350000,,put,03/17/1990,03/01/1990,350,17.5,16.5,17.125,280,5435,0.01,-1,0,6.6918,0,SPX900317P00350000
SPX,332.74,*,SPX900317P00355000,,put,03/17/1990,03/01/1990,355,0,21,21.75,0,1398,0.01,-1,0,6.7874,0,SPX900317P00355000
SPX,332.74,*,SPX900317P00360000,,put,03/17/1990,03/01/1990,360,0,26,26.75,0,1654,0.01,-1,0,6.883,0,SPX900317P00360000
SPX,332.74,*,SPX900317P00365000,,put,03/17/1990,03/01/1990,365,0,31,31.75,0,17,0.01,-1,0,6.9786,0,SPX900317P00365000
SPX,332.74,*,SPX900317P00370000,,put,03/17/1990,03/01/1990,370,0,36,36.75,0,207,0.01,-1,0,7.0742,0,SPX900317P00370000
SPX,332.74,*,SPX900317P00375000,,put,03/17/1990,03/01/1990,375,0,41,41.75,0,12630,0.01,-1,0,7.1697,0,SPX900317P00375000
SPX,332.74,*,SPX900421C00250000,,call,04/21/1990,03/01/1990,250,0,83.75,84.5,0,0,0.01,1,0,-4.7479,0,SPX900421C00250000
SPX,332.74,*,SPX900421C00305000,,call,04/21/1990,03/01/1990,305,0,31.5,32.25,0,0,0.2205,0.8881,0.6944,-10.1671,23.6831,SPX900421C00305000
SPX,332.74,*,SPX900421C00310000,,call,04/21/1990,03/01/1990,310,0,26.875,27.625,0,0,0.2057,0.8613,0.8644,-10.5153,27.5106,SPX900421C00310000
SPX,332.74,*,SPX900421C00315000,,call,04/21/1990,03/01/1990,315,0,22.75,23.5,0,0,0.2033,0.8126,1.0639,-11.4063,33.4662,SPX900421C00315000
SPX,332.74,*,SPX900421C00320000,,call,04/21/1990,03/01/1990,320,0,18.625,19.375,0,25,0.1941,0.7609,1.2852,-11.8247,38.5835,SPX900421C00320000
SPX,332.74,*,SPX900421C00325000,,call,04/21/1990,03/01/1990,325,15.625,14.75,15.25,15,722,0.1791,0.7024,1.5555,-11.7545,43.0902,SPX900421C00325000
SPX,332.74,*,SPX900421C00330000,,call,04/21/1990,03/01/1990,330,10.625,11.375,11.875,1,1873,0.1744,0.6215,1.7536,-11.8236,47.2987,SPX900421C00330000
SPX,332.74,*,SPX900421C00335000,,call,04/21/1990,03/01/1990,335,8.25,8.25,8.75,1354,87,0.1663,0.5317,1.9222,-11.2914,49.463,SPX900421C00335000
SPX,332.74,*,SPX900421C00340000,,call,04/21/1990,03/01/1990,340,5.75,5.625,6,871,3501,0.1566,0.4316,2.0176,-10.1466,48.8884,SPX900421C00340000
